Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
 1,0,20,   0, 23, 37, 10, 2,0,24,   0,0.908,  0.48, 11.13, 11.61,0.720,0,  0.48,1,0,0.092,0,  0
 2,0,24,   0, 22, 38, 10, 3,0,27,   0,0.911,  0.49, 10.89, 11.38,0.633,0,  0.97,1,0,0.089,0,  0
 3,0,27,   0, 21, 39, 10, 4,0,29,   0,0.912,  0.49, 10.64, 11.13,0.229,0,  1.46,1,0,0.088,0,  0
 4,0,29,   0, 22, 38, 10, 5,0,31,   0,0.913,  0.49, 10.38, 10.87,0.253,0,  1.95,1,0,0.087,0,  0
 5,0,31,   0, 17, 40, 10, 6,0,31,   3,0.911,  0.50, 10.11, 10.61,0.606,0,  2.45,1,0,0.089,0,  0
 6,0,31,   3, 23, 40, 10, 7,0,33,   0,0.912,  0.50,  9.83, 10.33,0.587,0,  2.95,1,0,0.088,0,  0
 7,0,33,   0, 18, 42, 10, 8,0,33,   0,0.910,  0.51,  9.53, 10.04,0.911,0,  3.46,1,0,0.090,0,  0
 8,0,33,   0, 18, 42, 10, 9,1,33,   0,0.093,  0.51,  6.97,  7.48,0.077,1,  3.97,1,1,0.093,0,  0
 9,1,33,   0, 24, 36, 10,10,1,35,   0,0.898,  0.39,  6.78,  7.18,0.335,0,  4.36,1,0,0.102,0,  0
10,1,35,   0, 19, 41, 10,11,1,35,   0,0.896,  0.42,  6.57,  6.99,0.149,0,  4.78,1,0,0.104,0,  0
11,1,35,   0, 19, 41, 10,12,1,35,   0,0.894,  0.42,  6.35,  6.77,0.841,0,  5.20,1,0,0.106,0,  0
12,1,35,   0, 19, 41, 10,13,2,35,   0,0.108,  0.42,  4.31,  4.73,0.023,1,  5.62,1,1,0.108,0,  0
13,2,35,   0, 25, 35, 10,14,2,37,   0,0.880,  0.31,  4.19,  4.50,0.960,0,  5.93,1,0,0.120,0,  0
14,2,37,   0, 20, 40, 10,15,2,37,   0,0.877,  0.33,  4.04,  4.37,0.495,0,  6.26,1,0,0.123,0,  0
15,2,37,   0, 20, 40, 10,16,2,37,   0,0.874,  0.33,  3.89,  4.22,0.769,0,  6.59,1,0,0.126,0,  0
16,2,37,   0, 20, 40, 10,17,2,37,   0,0.872,  0.33,  3.73,  4.06,0.839,0,  6.92,1,0,0.128,0,  0
17,2,37,   0, 20, 40, 10,18,2,37,   0,0.869,  0.33,  3.56,  3.90,0.721,0,  7.25,1,0,0.131,0,  0
18,2,37,   0, 20, 40, 10,19,2,37,   0,0.866,  0.33,  3.39,  3.72,0.225,0,  7.58,1,0,0.134,0,  0
19,2,37,   0, 14, 46, 10,20,2,35,   0,0.859,  0.36,  3.19,  3.55,0.541,0,  7.94,1,0,0.141,0,  0
20,2,35,   0, 13, 47, 10,21,2,33,   0,0.851,  0.36,  2.98,  3.34,0.457,0,  8.30,1,0,0.149,0,  0
21,2,33,   0, 12, 48, 10,22,2,31,   0,0.843,  0.36,  2.77,  3.13,0.549,0,  8.66,1,0,0.157,0,  0
22,2,31,   0, 11, 49, 10,23,2,29,   0,0.834,  0.37,  2.54,  2.91,0.256,0,  9.03,1,0,0.166,0,  0
23,2,29,   0,  1, 57, 10,24,2,24,   2,0.815,  0.39,  2.29,  2.68,0.372,0,  9.42,1,0,0.185,0,  0
24,2,24,   2,  7, 55, 10,25,2,22,   0,0.803,  0.39,  2.03,  2.41,0.428,0,  9.81,1,0,0.197,0,  0
