Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
 1,0,20,   0, 17, 53, 30, 2,0,22,   0,0.904,  0.57,  4.61,  4.72,0.720,0,  0.57,1,0,0.096,0,  0
 2,0,22,   0, 15, 56, 29, 3,0,23,   0,0.904,  0.58,  4.57,  4.70,0.633,0,  1.15,1,0,0.096,0,  0
 3,0,23,   0, 16, 55, 29, 4,0,24,   0,0.904,  0.58,  4.53,  4.66,0.229,0,  1.73,1,0,0.096,0,  0
 4,0,24,   0, 13, 57, 30, 5,0,24,   0,0.902,  0.59,  4.48,  4.62,0.253,0,  2.32,1,0,0.098,0,  0
 5,0,24,   0, 13, 57, 30, 6,0,24,   0,0.899,  0.59,  4.43,  4.57,0.606,0,  2.91,1,0,0.101,0,  0
 6,0,24,   0, 13, 56, 31, 7,0,24,   0,0.897,  0.58,  4.37,  4.51,0.587,0,  3.49,1,0,0.103,0,  0
 7,0,24,   0, 13, 55, 32, 8,0,24,   0,0.894,  0.58,  4.31,  4.46,0.911,0,  4.07,1,0,0.106,0,  0
 8,0,24,   0, 13, 55, 32, 9,1,24,   0,0.108,  0.58,  3.32,  3.57,0.077,1,  4.65,1,1,0.108,0,  0
 9,1,24,   0, 46, 54,  0,10,1,35,   0,0.898,  0.48,  3.38,  3.52,0.335,0,  5.13,0,0,0.102,0,  0
10,1,35,   0,  1, 60, 31,11,1,29,   8,0.886,  0.50,  3.30,  3.47,0.149,0,  5.63,1,0,0.114,0,  0
11,1,29,   8, 55, 53,  0,12,1,42,   0,0.904,  0.47,  3.35,  3.49,0.841,0,  6.10,0,0,0.096,0,  0
12,1,42,   0,  8, 63, 29,13,2,37,   0,0.105,  0.51,  2.40,  2.67,0.023,1,  6.61,1,1,0.105,0,  0
13,2,37,   0,  2, 60, 36,14,2,31,   2,0.868,  0.40,  2.32,  2.49,0.960,0,  7.01,1,0,0.132,0,  0
14,2,31,   2, 50, 52,  0,15,2,42,   0,0.886,  0.38,  2.36,  2.50,0.495,0,  7.39,0,0,0.114,0,  0
15,2,42,   0,  8, 57, 35,16,2,37,   0,0.874,  0.39,  2.27,  2.44,0.769,0,  7.78,1,0,0.126,0,  0
16,2,37,   0,  2, 59, 38,17,2,31,   1,0.859,  0.40,  2.18,  2.36,0.839,0,  8.18,1,0,0.141,0,  0
