Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
 1,0,20,   0,  0, 60, 10, 2,0,16,   0,0.892,  0.60,  5.07,  5.17,0.720,0,  0.60,1,0,0.108,0,  0
 2,0,16,   0,  0, 60, 10, 3,0,13,   0,0.882,  0.60,  5.03,  5.12,0.633,0,  1.20,1,0,0.118,0,  0
 3,0,13,   0,  2, 58, 10, 4,0,11,   0,0.873,  0.59,  4.99,  5.08,0.229,0,  1.79,1,0,0.127,0,  0
 4,0,11,   0,  0, 60, 10, 5,0, 9,   0,0.864,  0.60,  4.94,  5.05,0.253,0,  2.39,1,0,0.136,0,  0
 5,0, 9,   0,  0, 60, 10, 6,0, 7,   0,0.853,  0.60,  4.90,  5.01,0.606,0,  2.99,1,0,0.147,0,  0
 6,0, 7,   0,  1, 59, 10, 7,0, 6,   0,0.845,  0.60,  4.85,  4.96,0.587,0,  3.59,1,0,0.155,0,  0
 7,0, 6,   0,  1, 59, 10, 8,0, 5,   0,0.837,  0.60,  4.81,  4.92,0.911,0,  4.19,1,0,0.163,0,  0
 8,0, 5,   0,  0, 60, 10, 9,1, 4,   0,0.172,  0.60,  4.28,  4.45,0.077,1,  4.79,1,1,0.172,0,  0
 9,1, 4,   0,  6, 54, 10,10,1, 5,   0,0.811,  0.56,  4.25,  4.39,0.335,0,  5.35,1,0,0.189,0,  0
10,1, 5,   0,  9, 51, 10,11,2, 7,   0,0.182,  0.55,  3.57,  3.76,0.149,1,  5.90,1,1,0.182,0,  0
11,2, 7,   0, 10, 50, 10,12,2, 9,   0,0.801,  0.52,  3.56,  3.72,0.841,0,  6.42,1,0,0.199,0,  0
12,2, 9,   0, 11, 49, 10,13,3,11,   0,0.193,  0.51,  2.72,  2.96,0.023,1,  6.93,1,1,0.193,0,  0
13,3,11,   0, 15, 45, 10,14,3,14,   0,0.790,  0.45,  2.72,  2.90,0.960,0,  7.38,1,0,0.210,0,  0
14,3,14,   0, 14, 46, 10,15,3,16,   0,0.795,  0.45,  2.71,  2.89,0.495,0,  7.83,1,0,0.205,0,  0
15,3,16,   0, 15, 45, 10,16,3,18,   0,0.800,  0.45,  2.70,  2.88,0.769,0,  8.28,1,0,0.200,0,  0
16,3,18,   0, 10, 50, 10,17,3,18,   0,0.796,  0.47,  2.67,  2.87,0.839,0,  8.75,1,0,0.204,0,  0
17,3,18,   0, 10, 50, 10,18,3,18,   0,0.793,  0.47,  2.63,  2.83,0.721,0,  9.22,1,0,0.207,0,  0
18,3,18,   0, 10, 50, 10,19,3,18,   0,0.789,  0.47,  2.58,  2.79,0.225,0,  9.69,1,0,0.211,0,  0
19,3,18,   0, 10, 50, 10,20,3,18,   0,0.785,  0.47,  2.53,  2.74,0.541,0, 10.16,1,0,0.215,0,  0
20,3,18,   0, 10, 50, 10,21,3,18,   0,0.780,  0.47,  2.47,  2.69,0.457,0, 10.63,1,0,0.220,0,  0
21,3,18,   0, 10, 50, 10,22,3,18,   0,0.776,  0.47,  2.39,  2.62,0.549,0, 11.10,1,0,0.224,0,  0
22,3,18,   0,  4, 56, 10,23,3,16,   0,0.761,  0.49,  2.28,  2.55,0.256,0, 11.59,1,0,0.239,0,  0
23,3,16,   0,  3, 57, 10,24,3,14,   0,0.746,  0.49,  2.16,  2.44,0.372,0, 12.08,1,0,0.254,0,  0
24,3,14,   0,  2, 58, 10,25,3,12,   0,0.728,  0.50,  2.01,  2.30,0.428,0, 12.58,1,0,0.272,0,  0
25,3,12,   0,  4, 56, 10,26,4,11,   0,0.285,  0.49,  1.32,  1.68,0.275,1, 13.07,1,1,0.285,0,  0
26,4,11,   0,  6, 54, 10,27,4,11,   0,0.669,  0.41,  1.20,  1.49,0.831,0, 13.48,1,0,0.331,0,  0
27,4,11,   0,  0, 60, 10,28,4, 9,   0,0.646,  0.42,  1.02,  1.35,0.984,0, 13.90,1,0,0.354,0,  0
28,4, 9,   0,  0, 60, 10,29,4, 7,   0,0.620,  0.42,  0.78,  1.13,0.382,0, 14.32,1,0,0.380,0,  0
29,4, 7,   0,  0, 60, 10,30,4, 5,   0,0.590,  0.42,  0.45,  0.83,0.718,0, 14.74,1,0,0.410,0,  0
30,4, 5,   0,  0, 70,  0,31,5, 4,-300,0.430,  0.45,  0.00,  0.45,0.126,1, 15.19,0,0,0.430,0,  0
 1,0,20,   0,  0, 60, 10, 2,0,16,   0,0.892,  0.60,  5.07,  5.17,0.217,0,  0.60,1,0,0.108,0,  1
 2,0,16,   0,  0, 60, 10, 3,0,13,   0,0.882,  0.60,  5.03,  5.12,0.541,0,  1.20,1,0,0.118,0,  1
 3,0,13,   0,  2, 58, 10, 4,0,11,   0,0.873,  0.59,  4.99,  5.08,0.490,0,  1.79,1,0,0.127,0,  1
 4,0,11,   0,  0, 60, 10, 5,0, 9,   0,0.864,  0.60,  4.94,  5.05,0.879,0,  2.39,1,0,0.136,0,  1
 5,0, 9,   0,  0, 60, 10, 6,0, 7,   0,0.853,  0.60,  4.90,  5.01,0.583,0,  2.99,1,0,0.147,0,  1
 6,0, 7,   0,  1, 59, 10, 7,0, 6,   0,0.845,  0.60,  4.85,  4.96,0.749,0,  3.59,1,0,0.155,0,  1
 7,0, 6,   0,  1, 59, 10, 8,0, 5,   0,0.837,  0.60,  4.81,  4.92,0.372,0,  4.19,1,0,0.163,0,  1
 8,0, 5,   0,  0, 60, 10, 9,0, 4,   0,0.828,  0.60,  4.76,  4.88,0.222,0,  4.79,1,0,0.172,0,  1
 9,0, 4,   0,  0, 60, 10,10,1, 3,   0,0.181,  0.60,  4.23,  4.41,0.104,1,  5.39,1,1,0.181,0,  1
10,1, 3,   0,  8, 52, 10,11,2, 5,   0,0.193,  0.56,  3.55,  3.75,0.145,1,  5.95,1,1,0.193,0,  1
11,2, 5,   0,  9, 51, 10,12,2, 7,   0,0.790,  0.52,  3.54,  3.70,0.403,0,  6.47,1,0,0.210,0,  1
12,2, 7,   0, 10, 50, 10,13,2, 9,   0,0.797,  0.52,  3.52,  3.69,0.797,0,  6.99,1,0,0.203,0,  1
13,2, 9,   0, 11, 49, 10,14,2,11,   0,0.803,  0.51,  3.50,  3.67,0.207,0,  7.50,1,0,0.197,0,  1
14,2,11,   0,  6, 54, 10,15,2,11,   0,0.799,  0.53,  3.46,  3.65,0.280,0,  8.03,1,0,0.201,0,  1
15,2,11,   0,  6, 54, 10,16,2,11,   0,0.795,  0.53,  3.41,  3.61,0.215,0,  8.56,1,0,0.205,0,  1
16,2,11,   0,  6, 54, 10,17,2,11,   0,0.791,  0.53,  3.36,  3.56,0.395,0,  9.09,1,0,0.209,0,  1
17,2,11,   0,  6, 54, 10,18,2,11,   0,0.786,  0.53,  3.29,  3.50,0.864,0,  9.62,1,0,0.214,0,  1
