Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
 1,0,20,   0,  0, 60, 10, 2,0,16,   0,0.892,  0.60,  2.88,  2.91,0.720,0,  0.60,1,0,0.108,0,  0
 2,0,16,   0,  0, 60, 10, 3,0,13,   0,0.882,  0.60,  2.87,  2.90,0.633,0,  1.20,1,0,0.118,0,  0
 3,0,13,   0,  0, 60, 10, 4,0,10,   0,0.870,  0.60,  2.86,  2.89,0.229,0,  1.80,1,0,0.130,0,  0
 4,0,10,   0,  0, 60, 10, 5,0, 8,   0,0.860,  0.60,  2.85,  2.88,0.253,0,  2.40,1,0,0.140,0,  0
 5,0, 8,   0,  0, 60, 10, 6,0, 6,   0,0.849,  0.60,  2.84,  2.87,0.606,0,  3.00,1,0,0.151,0,  0
 6,0, 6,   0,  0, 60, 10, 7,0, 4,   0,0.836,  0.60,  2.83,  2.87,0.587,0,  3.60,1,0,0.164,0,  0
 7,0, 4,   0,  0, 60, 10, 8,0, 3,   0,0.827,  0.60,  2.83,  2.86,0.911,0,  4.20,1,0,0.173,0,  0
 8,0, 3,   0,  0, 60, 10, 9,1, 2,   0,0.182,  0.60,  2.63,  2.70,0.077,1,  4.80,1,1,0.182,0,  0
 9,1, 2,   0,  0, 60, 10,10,1, 1,   0,0.787,  0.59,  2.61,  2.68,0.335,0,  5.39,1,0,0.213,0,  0
10,1, 1,   0,  0, 60, 10,11,2, 0,   0,0.225,  0.59,  2.27,  2.41,0.149,1,  5.98,1,1,0.225,0,  0
11,2, 0,   0,  0, 60, 10,12,2, 0,   0,0.742,  0.56,  2.26,  2.37,0.841,0,  6.54,1,0,0.258,0,  0
12,2, 0,   0,  0, 60, 10,13,3, 0,   0,0.264,  0.56,  1.79,  1.99,0.023,1,  7.10,1,1,0.264,0,  0
13,3, 0,   0,  3, 57, 10,14,3, 1,   0,0.701,  0.49,  1.79,  1.93,0.960,0,  7.59,1,0,0.299,0,  0
