Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
 1,0,20,   0, 38, 32, 30, 2,0,29,   0,0.916,  0.44, 14.39, 14.83,0.720,0,  0.44,1,0,0.084,0,  0
 2,0,29,   0, 40, 34, 26, 3,0,37,   0,0.924,  0.46, 14.05, 14.51,0.633,0,  0.90,1,0,0.076,0,  0
 3,0,37,   0, 35, 42, 23, 4,0,42,   0,0.928,  0.51, 13.65, 14.16,0.229,0,  1.41,1,0,0.072,0,  0
 4,0,42,   0, 35, 43, 22, 5,0,46,   0,0.930,  0.52, 13.23, 13.75,0.253,0,  1.93,1,0,0.070,0,  0
 5,0,46,   0, 31, 47, 21, 6,0,48,   1,0.930,  0.54, 12.79, 13.33,0.606,0,  2.47,1,0,0.070,0,  0
 6,0,48,   1, 32, 48, 21, 7,0,50,   0,0.930,  0.55, 12.33, 12.88,0.587,0,  3.02,1,0,0.070,0,  0
 7,0,50,   0, 21, 48, 21, 8,0,48,  10,0.927,  0.55, 11.88, 12.42,0.911,0,  3.57,1,0,0.073,0,  0
 8,0,48,  10, 32, 48, 22, 9,0,50,   8,0.927,  0.55, 11.41, 11.96,0.077,0,  4.12,1,0,0.073,0,  0
 9,0,50,   8, 15, 49, 22,10,0,46,  22,0.921,  0.55, 10.95, 11.50,0.335,0,  4.67,1,0,0.079,0,  0
10,0,46,  22, 19, 49, 24,11,0,44,  30,0.917,  0.55, 10.48, 11.03,0.149,0,  5.22,1,0,0.083,0,  0
11,0,44,  30, 30, 47, 25,12,0,46,  28,0.917,  0.54, 10.02, 10.56,0.841,0,  5.76,1,0,0.083,0,  0
12,0,46,  28, 31, 48, 25,13,1,48,  24,0.082,  0.55,  8.68,  9.23,0.023,1,  6.31,1,1,0.082,0,  0
13,1,48,  24, 53, 43, 28,14,1,57,   0,0.917,  0.51,  8.28,  8.78,0.960,0,  6.82,1,0,0.083,0,  0
14,1,57,   0, 10, 44, 25,15,1,50,  21,0.908,  0.51,  7.86,  8.38,0.495,0,  7.33,1,0,0.092,0,  0
