Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
14,1,24,   0, 13, 46, 41,15,1,24,   0,0.863,  0.53,  3.79,  3.93,0.280,0,  7.92,1,0,0.137,0,  1
15,1,24,   0,  1, 50, 42,16,1,20,   7,0.849,  0.55,  3.67,  3.85,0.215,0,  8.47,1,0,0.151,0,  1
16,1,20,   7, 62, 45,  0,17,1,37,   0,0.885,  0.52,  3.78,  3.92,0.395,0,  8.99,0,0,0.115,0,  1
17,1,37,   0, 14, 51, 35,18,1,35,   0,0.878,  0.55,  3.64,  3.83,0.864,0,  9.54,1,0,0.122,0,  1
18,1,35,   0, 10, 53, 37,19,1,32,   0,0.869,  0.56,  3.48,  3.69,0.463,0, 10.10,1,0,0.131,0,  1
19,1,32,   0,  9, 51, 40,20,1,29,   0,0.859,  0.55,  3.31,  3.53,0.689,0, 10.65,1,0,0.141,0,  1
20,1,29,   0,  1, 55, 43,21,1,24,   1,0.843,  0.57,  3.10,  3.36,0.649,0, 11.22,1,0,0.157,0,  1
21,1,24,   1,  1, 51, 48,22,1,20,   1,0.826,  0.55,  2.88,  3.15,0.635,0, 11.77,1,0,0.174,0,  1
22,1,20,   1, 56, 45,  0,23,1,35,   0,0.863,  0.52,  2.92,  3.15,0.410,0, 12.29,0,0,0.137,0,  1
23,1,35,   0,  1, 56, 42,24,1,29,   1,0.845,  0.57,  2.65,  2.96,0.375,0, 12.86,1,0,0.155,0,  1
24,1,29,   1,  1, 52, 48,25,1,24,   0,0.826,  0.56,  2.36,  2.68,0.702,0, 13.42,1,0,0.174,0,  1
25,1,24,   0,  1, 46, 53,26,1,20,   0,0.807,  0.53,  2.08,  2.40,0.707,0, 13.95,1,0,0.193,0,  1
26,1,20,   0, 32, 54,  0,27,1,27,  14,0.827,  0.56,  1.96,  2.33,0.301,0, 14.51,0,0,0.173,0,  1
27,1,27,  14,  0, 53, 53,28,1,22,   8,0.805,  0.56,  1.59,  1.99,0.982,0, 15.07,1,0,0.195,0,  1
28,1,22,   8,  0, 48, 60,29,2,18,   0,0.217,  0.54,  1.11,  1.53,0.200,1, 15.61,1,1,0.217,0,  1
29,2,18,   0,  1, 99,  0,30,2,15,   0,0.744,  0.66,  0.66,  1.26,0.429,0, 16.27,0,0,0.256,0,  1
30,2,15,   0,  0,100,  0,31,2,12,   0,0.719,  0.66,  0.00,  0.66,0.544,0, 16.93,0,0,0.281,0,  1
 1,0,20,   0, 11, 59, 30, 2,0,20,   0,0.901,  0.60,  5.04,  5.13,0.325,0,  0.60,1,0,0.099,0,  2
 2,0,20,   0, 11, 59, 30, 3,0,20,   0,0.898,  0.60,  4.98,  5.08,0.102,0,  1.20,1,0,0.102,0,  2
 3,0,20,   0, 14, 55, 31, 4,0,21,   0,0.898,  0.58,  4.94,  5.02,0.188,0,  1.78,1,0,0.102,0,  2
 4,0,21,   0, 15, 54, 31, 5,0,22,   0,0.898,  0.57,  4.89,  4.98,0.646,0,  2.35,1,0,0.102,0,  2
 5,0,22,   0, 12, 57, 31, 6,0,22,   0,0.895,  0.59,  4.83,  4.93,0.781,0,  2.94,1,0,0.105,0,  2
 6,0,22,   0, 12, 55, 32, 7,0,22,   1,0.893,  0.58,  4.77,  4.87,0.814,0,  3.52,1,0,0.107,0,  2
 7,0,22,   1, 18, 50, 33, 8,0,24,   0,0.894,  0.56,  4.73,  4.81,0.873,0,  4.08,1,0,0.106,0,  2
 8,0,24,   0, 13, 55, 32, 9,1,24,   0,0.108,  0.58,  4.25,  4.40,0.105,1,  4.66,1,1,0.108,0,  2
 9,1,24,   0, 13, 50, 37,10,1,24,   0,0.878,  0.55,  4.18,  4.31,0.353,0,  5.21,1,0,0.122,0,  2
10,1,24,   0, 13, 50, 37,11,1,24,   0,0.875,  0.55,  4.11,  4.25,0.820,0,  5.76,1,0,0.125,0,  2
11,1,24,   0, 13, 49, 38,12,1,24,   0,0.872,  0.54,  4.04,  4.17,0.516,0,  6.30,1,0,0.128,0,  2
12,1,24,   0, 13, 48, 39,13,1,24,   0,0.869,  0.54,  3.96,  4.10,0.396,0,  6.84,1,0,0.131,0,  2
13,1,24,   0, 13, 47, 40,14,1,24,   0,0.866,  0.53,  3.87,  4.02,0.202,0,  7.37,1,0,0.134,0,  2
14,1,24,   0, 13, 46, 41,15,1,24,   0,0.863,  0.53,  3.79,  3.93,0.276,0,  7.90,1,0,0.137,0,  2
15,1,24,   0,  1, 50, 42,16,1,20,   7,0.849,  0.55,  3.67,  3.85,0.224,0,  8.45,1,0,0.151,0,  2
16,1,20,   7, 62, 45,  0,17,1,37,   0,0.885,  0.52,  3.78,  3.92,0.686,0,  8.97,0,0,0.115,0,  2
17,1,37,   0, 14, 51, 35,18,1,35,   0,0.878,  0.55,  3.64,  3.83,0.714,0,  9.52,1,0,0.122,0,  2
18,1,35,   0, 10, 53, 37,19,1,32,   0,0.869,  0.56,  3.48,  3.69,0.709,0, 10.08,1,0,0.131,0,  2
19,1,32,   0,  9, 51, 40,20,1,29,   0,0.859,  0.55,  3.31,  3.53,0.957,0, 10.63,1,0,0.141,0,  2
20,1,29,   0,  1, 55, 43,21,1,24,   1,0.843,  0.57,  3.10,  3.36,0.335,0, 11.20,1,0,0.157,0,  2
21,1,24,   1,  1, 51, 48,22,1,20,   1,0.826,  0.55,  2.88,  3.15,0.875,0, 11.75,1,0,0.174,0,  2
22,1,20,   1, 56, 45,  0,23,1,35,   0,0.863,  0.52,  2.92,  3.15,0.392,0, 12.27,0,0,0.137,0,  2
23,1,35,   0,  1, 56, 42,24,1,29,   1,0.845,  0.57,  2.65,  2.96,0.163,0, 12.84,1,0,0.155,0,  2
24,1,29,   1,  1, 52, 48,25,2,24,   0,0.174,  0.56,  2.13,  2.48,0.099,1, 13.40,1,1,0.174,0,  2
25,2,24,   0, 40, 52,  0,26,2,33,   8,0.834,  0.53,  2.07,  2.39,0.235,0, 13.93,0,0,0.166,0,  2
26,2,33,   8,  0, 52, 51,27,2,27,   5,0.812,  0.53,  1.76,  2.11,0.200,0, 14.46,1,0,0.188,0,  2
27,2,27,   5,  0, 47, 58,28,3,22,   0,0.211,  0.50,  1.26,  1.64,0.156,1, 14.96,1,1,0.211,0,  2
28,3,22,   0, 12, 88,  0,29,3,22,   0,0.761,  0.58,  1.00,  1.48,0.913,0, 15.54,0,0,0.239,0,  2
29,3,22,   0,  0,100,  0,30,3,18,   0,0.735,  0.60,  0.60,  1.14,0.989,0, 16.14,0,0,0.265,0,  2
30,3,18,   0,  0,100,  0,31,4,14,-300,0.295,  0.60,  0.00,  0.60,0.153,1, 16.74,0,0,0.295,0,  2
 1,0,20,   0, 11, 59, 30, 2,0,20,   0,0.901,  0.60,  5.04,  5.13,0.884,0,  0.60,1,0,0.099,0,  3
 2,0,20,   0, 11, 59, 30, 3,0,20,   0,0.898,  0.60,  4.98,  5.08,0.282,0,  1.20,1,0,0.102,0,  3
 3,0,20,   0, 14, 55, 31, 4,0,21,   0,0.898,  0.58,  4.94,  5.02,0.164,0,  1.78,1,0,0.102,0,  3
 4,0,21,   0, 15, 54, 31, 5,0,22,   0,0.898,  0.57,  4.89,  4.98,0.248,0,  2.35,1,0,0.102,0,  3
 5,0,22,   0, 12, 57, 31, 6,0,22,   0,0.895,  0.59,  4.83,  4.93,0.846,0,  2.94,1,0,0.105,0,  3
 6,0,22,   0, 12, 55, 32, 7,0,22,   1,0.893,  0.58,  4.77,  4.87,0.453,0,  3.52,1,0,0.107,0,  3
 7,0,22,   1, 18, 50, 33, 8,0,24,   0,0.894,  0.56,  4.73,  4.81,0.240,0,  4.08,1,0,0.106,0,  3
 8,0,24,   0, 13, 55, 32, 9,0,24,   0,0.892,  0.58,  4.65,  4.76,0.477,0,  4.66,1,0,0.108,0,  3
 9,0,24,   0, 13, 54, 33,10,0,24,   0,0.889,  0.57,  4.57,  4.69,0.424,0,  5.23,1,0,0.111,0,  3
10,0,24,   0, 13, 53, 34,11,0,24,   0,0.887,  0.57,  4.49,  4.61,0.450,0,  5.80,1,0,0.113,0,  3
11,0,24,   0, 10, 55, 35,12,0,23,   0,0.882,  0.58,  4.39,  4.53,0.292,0,  6.38,1,0,0.118,0,  3
12,0,23,   0, 10, 54, 36,13,0,22,   0,0.876,  0.57,  4.28,  4.43,0.220,0,  6.95,1,0,0.124,0,  3
13,0,22,   0, 12, 50, 38,14,0,22,   0,0.873,  0.56,  4.19,  4.32,0.389,0,  7.51,1,0,0.127,0,  3
14,0,22,   0, 12, 49, 39,15,0,22,   0,0.870,  0.55,  4.08,  4.23,0.747,0,  8.06,1,0,0.130,0,  3
15,0,22,   0, 12, 48, 40,16,0,22,   0,0.867,  0.55,  3.97,  4.12,0.598,0,  8.61,1,0,0.133,0,  3
16,0,22,   0, 12, 47, 41,17,0,22,   0,0.863,  0.54,  3.86,  4.01,0.615,0,  9.15,1,0,0.137,0,  3
17,0,22,   0, 12, 46, 42,18,0,22,   0,0.860,  0.53,  3.73,  3.89,0.442,0,  9.68,1,0,0.140,0,  3
18,0,22,   0, 12, 45, 43,19,1,22,   0,0.144,  0.53,  3.33,  3.53,0.033,1, 10.21,1,1,0.144,0,  3
19,1,22,   0,  0, 51, 48,20,1,18,   1,0.827,  0.55,  3.16,  3.39,0.595,0, 10.76,1,0,0.173,0,  3
20,1,18,   1, 55, 46,  0,21,1,33,   0,0.865,  0.53,  3.22,  3.43,0.453,0, 11.29,0,0,0.135,0,  3
21,1,33,   0,  6, 53, 41,22,1,29,   0,0.852,  0.56,  3.01,  3.27,0.204,0, 11.85,1,0,0.148,0,  3
22,1,29,   0,  1, 54, 45,23,1,24,   0,0.835,  0.56,  2.76,  3.05,0.877,0, 12.41,1,0,0.165,0,  3
23,1,24,   0,  1, 48, 51,24,1,20,   0,0.817,  0.54,  2.52,  2.80,0.317,0, 12.95,1,0,0.183,0,  3
