Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
14,1,24,  13, 13, 47, 10,15,1,24,  13,0.863,  0.53,  7.78,  8.31,0.280,0,  7.34,1,0,0.137,0,  1
15,1,24,  13, 13, 48, 10,16,1,24,  12,0.860,  0.54,  7.41,  7.95,0.215,0,  7.88,1,0,0.140,0,  1
16,1,24,  12, 13, 50, 10,17,1,24,   9,0.857,  0.55,  7.02,  7.57,0.395,0,  8.43,1,0,0.143,0,  1
17,1,24,   9, 13, 51, 10,18,1,24,   5,0.853,  0.55,  6.62,  7.17,0.864,0,  8.98,1,0,0.147,0,  1
18,1,24,   5, 13, 52, 10,19,1,24,   0,0.850,  0.56,  6.20,  6.75,0.463,0,  9.54,1,0,0.150,0,  1
19,1,24,   0,  7, 53, 10,20,1,22,   0,0.840,  0.56,  5.77,  6.33,0.689,0, 10.10,1,0,0.160,0,  1
20,1,22,   0,  0, 56, 10,21,1,18,   4,0.823,  0.57,  5.32,  5.89,0.649,0, 10.67,1,0,0.177,0,  1
21,1,18,   4,  4, 57, 10,22,1,16,   3,0.811,  0.58,  4.86,  5.44,0.635,0, 11.25,1,0,0.189,0,  1
22,1,16,   3,  0, 59, 10,23,1,13,   4,0.792,  0.59,  4.39,  4.97,0.410,0, 11.84,1,0,0.208,0,  1
23,1,13,   4,  2, 60, 10,24,1,11,   2,0.777,  0.59,  3.90,  4.49,0.375,0, 12.43,1,0,0.223,0,  1
24,1,11,   2,  0, 61, 10,25,1, 9,   1,0.759,  0.59,  3.39,  3.98,0.702,0, 13.02,1,0,0.241,0,  1
25,1, 9,   1,  0, 61, 10,26,1, 7,   0,0.740,  0.59,  2.86,  3.45,0.707,0, 13.61,1,0,0.260,0,  1
26,1, 7,   0,  0, 60, 10,27,1, 5,   0,0.718,  0.59,  2.32,  2.91,0.301,0, 14.20,1,0,0.282,0,  1
27,1, 5,   0,  0, 60, 10,28,1, 4,   0,0.702,  0.59,  1.77,  2.36,0.982,0, 14.79,1,0,0.298,0,  1
28,1, 4,   0,  0, 60, 10,29,2, 3,   0,0.315,  0.59,  1.13,  1.72,0.200,1, 15.38,1,1,0.315,0,  1
29,2, 3,   0,  0, 60, 10,30,2, 2,   0,0.640,  0.56,  0.59,  1.15,0.429,0, 15.94,1,0,0.360,0,  1
30,2, 2,   0,  0, 70,  0,31,2, 1,   0,0.619,  0.59,  0.00,  0.59,0.544,0, 16.53,0,0,0.381,0,  1
 1,0,20,   0, 17, 42, 10, 2,0,22,   1,0.904,  0.51, 13.70, 14.22,0.325,0,  0.51,1,0,0.096,0,  2
 2,0,22,   1, 18, 43, 10, 3,0,24,   0,0.906,  0.52, 13.36, 13.88,0.102,0,  1.03,1,0,0.094,0,  2
 3,0,24,   0, 13, 43, 10, 4,0,24,   4,0.904,  0.52, 13.01, 13.53,0.188,0,  1.55,1,0,0.096,0,  2
 4,0,24,   4, 13, 44, 10, 5,0,24,   7,0.902,  0.52, 12.66, 13.18,0.646,0,  2.07,1,0,0.098,0,  2
 5,0,24,   7, 13, 45, 10, 6,0,24,   9,0.899,  0.53, 12.29, 12.82,0.781,0,  2.60,1,0,0.101,0,  2
 6,0,24,   9, 13, 46, 10, 7,0,24,  10,0.897,  0.53, 11.91, 12.45,0.814,0,  3.13,1,0,0.103,0,  2
 7,0,24,  10, 13, 47, 10, 8,0,24,  10,0.894,  0.54, 11.52, 12.06,0.873,0,  3.67,1,0,0.106,0,  2
 8,0,24,  10, 13, 47, 10, 9,1,24,  10,0.108,  0.54,  9.77, 10.31,0.105,1,  4.21,1,1,0.108,0,  2
 9,1,24,  10, 28, 42, 10,10,1,29,   0,0.888,  0.50,  9.46,  9.97,0.353,0,  4.71,1,0,0.112,0,  2
10,1,29,   0, 16, 43, 10,11,1,29,   1,0.886,  0.51,  9.15,  9.66,0.820,0,  5.22,1,0,0.114,0,  2
11,1,29,   1, 16, 44, 10,12,1,29,   1,0.883,  0.51,  8.82,  9.33,0.516,0,  5.73,1,0,0.117,0,  2
12,1,29,   1, 16, 45, 10,13,1,29,   0,0.880,  0.52,  8.47,  8.99,0.396,0,  6.25,1,0,0.120,0,  2
13,1,29,   0,  1, 46, 10,14,1,24,  13,0.866,  0.53,  8.13,  8.66,0.202,0,  6.78,1,0,0.134,0,  2
14,1,24,  13, 13, 47, 10,15,1,24,  13,0.863,  0.53,  7.78,  8.31,0.276,0,  7.31,1,0,0.137,0,  2
15,1,24,  13, 13, 48, 10,16,1,24,  12,0.860,  0.54,  7.41,  7.95,0.224,0,  7.85,1,0,0.140,0,  2
16,1,24,  12, 13, 50, 10,17,1,24,   9,0.857,  0.55,  7.02,  7.57,0.686,0,  8.40,1,0,0.143,0,  2
17,1,24,   9, 13, 51, 10,18,1,24,   5,0.853,  0.55,  6.62,  7.17,0.714,0,  8.95,1,0,0.147,0,  2
18,1,24,   5, 13, 52, 10,19,1,24,   0,0.850,  0.56,  6.20,  6.75,0.709,0,  9.51,1,0,0.150,0,  2
19,1,24,   0,  7, 53, 10,20,1,22,   0,0.840,  0.56,  5.77,  6.33,0.957,0, 10.07,1,0,0.160,0,  2
20,1,22,   0,  0, 56, 10,21,1,18,   4,0.823,  0.57,  5.32,  5.89,0.335,0, 10.64,1,0,0.177,0,  2
21,1,18,   4,  4, 57, 10,22,1,16,   3,0.811,  0.58,  4.86,  5.44,0.875,0, 11.22,1,0,0.189,0,  2
22,1,16,   3,  0, 59, 10,23,1,13,   4,0.792,  0.59,  4.39,  4.97,0.392,0, 11.81,1,0,0.208,0,  2
23,1,13,   4,  2, 60, 10,24,2,11,   2,0.223,  0.59,  3.46,  4.05,0.163,1, 12.40,1,1,0.223,0,  2
24,2,11,   2,  6, 56, 10,25,3,11,   0,0.250,  0.54,  2.50,  3.04,0.099,1, 12.94,1,1,0.250,0,  2
25,3,11,   0,  6, 54, 10,26,4,11,   0,0.285,  0.48,  1.55,  2.04,0.235,1, 13.42,1,1,0.285,0,  2
26,4,11,   0, 15, 45, 10,27,5,14,   0,0.308,  0.37,  0.72,  1.09,0.200,1, 13.79,1,1,0.308,0,  2
27,5,14,   0, 20, 50,  0,28,6,18,-300,0.335,  0.28,  0.00,  0.28,0.156,1, 14.07,0,0,0.335,0,  2
28,6,18,-300,  0,  0,  0,29,6,14,-230,0.557,  0.00,  0.00,  0.00,0.913,0, 14.07,0,0,0.443,1,  2
29,6,14,-230,  0,  0,  0,30,6,11,-160,0.518,  0.00,  0.00,  0.00,0.989,0, 14.07,0,0,0.482,1,  2
30,6,11,-160,  0,  0,  0,31,6, 9,-390,0.514,  0.00,  0.00,  0.00,0.153,1, 14.07,0,0,0.514,1,  2
