Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
 1,0,20,   0,  2, 68, 30, 2,0,17,   0,0.894,  0.63,  2.83,  2.90,0.720,0,  0.63,1,0,0.106,0,  0
 2,0,17,   0,  1, 67, 32, 3,0,14,   0,0.885,  0.63,  2.78,  2.85,0.633,0,  1.26,1,0,0.115,0,  0
 3,0,14,   0,  2, 63, 35, 4,0,12,   0,0.876,  0.61,  2.73,  2.80,0.229,0,  1.87,1,0,0.124,0,  0
 4,0,12,   0,  4, 58, 38, 5,0,11,   0,0.870,  0.59,  2.70,  2.75,0.253,0,  2.46,1,0,0.130,0,  0
 5,0,11,   0,  0, 60, 40, 6,0, 9,   0,0.861,  0.60,  2.65,  2.72,0.606,0,  3.06,1,0,0.139,0,  0
 6,0, 9,   0,  0, 57, 43, 7,0, 7,   0,0.850,  0.59,  2.61,  2.67,0.587,0,  3.65,1,0,0.150,0,  0
 7,0, 7,   0, 37, 63,  0, 8,0,18,   0,0.881,  0.61,  2.72,  2.78,0.911,0,  4.26,0,0,0.119,0,  0
 8,0,18,   0,  1, 63, 36, 9,1,15,   0,0.130,  0.61,  2.47,  2.59,0.077,1,  4.87,1,1,0.130,0,  0
 9,1,15,   0,  0, 56, 44,10,1,12,   0,0.843,  0.57,  2.42,  2.51,0.335,0,  5.44,1,0,0.157,0,  0
10,1,12,   0, 43, 57,  0,11,1,24,   0,0.875,  0.58,  2.53,  2.60,0.149,0,  6.02,0,0,0.125,0,  0
11,1,24,   0,  1, 61, 38,12,1,20,   0,0.862,  0.59,  2.46,  2.56,0.841,0,  6.61,1,0,0.138,0,  0
12,1,20,   0,  2, 56, 42,13,2,17,   0,0.150,  0.57,  2.13,  2.28,0.023,1,  7.18,1,1,0.150,0,  0
13,2,17,   0, 40, 60,  0,14,2,27,   0,0.858,  0.56,  2.21,  2.33,0.960,0,  7.74,0,0,0.142,0,  0
14,2,27,   0,  0, 57, 43,15,2,22,   0,0.842,  0.55,  2.14,  2.26,0.495,0,  8.29,1,0,0.158,0,  0
15,2,22,   0,  0, 51, 49,16,2,18,   0,0.825,  0.52,  2.08,  2.18,0.769,0,  8.81,1,0,0.175,0,  0
16,2,18,   0, 37, 61,  0,17,2,27,   2,0.849,  0.56,  2.15,  2.28,0.839,0,  9.37,0,0,0.151,0,  0
17,2,27,   2,  0, 56, 46,18,2,22,   0,0.831,  0.54,  2.06,  2.19,0.721,0,  9.91,1,0,0.169,0,  0
18,2,22,   0, 27, 66,  0,19,2,27,   7,0.843,  0.58,  2.11,  2.27,0.225,0, 10.49,0,0,0.157,0,  0
19,2,27,   7,  0, 59, 48,20,2,22,   0,0.824,  0.55,  1.99,  2.15,0.541,0, 11.04,1,0,0.176,0,  0
20,2,22,   0, 27, 65,  0,21,2,27,   8,0.836,  0.58,  2.04,  2.20,0.457,0, 11.62,0,0,0.164,0,  0
21,2,27,   8,  0, 58, 50,22,2,22,   0,0.816,  0.55,  1.91,  2.08,0.549,0, 12.17,1,0,0.184,0,  0
