Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
14,2,16,   0,  9, 51, 10,15,2,16,   0,0.821,  0.37,  2.20,  2.36,0.280,0,  7.19,1,0,0.179,0,  1
15,2,16,   0,  9, 51, 10,16,2,16,   0,0.817,  0.37,  2.17,  2.33,0.215,0,  7.56,1,0,0.183,0,  1
16,2,16,   0,  9, 51, 10,17,2,16,   0,0.813,  0.37,  2.14,  2.30,0.395,0,  7.93,1,0,0.187,0,  1
17,2,16,   0,  9, 51, 10,18,2,16,   0,0.809,  0.37,  2.10,  2.27,0.864,0,  8.30,1,0,0.191,0,  1
18,2,16,   0,  9, 51, 10,19,2,16,   0,0.805,  0.37,  2.06,  2.23,0.463,0,  8.67,1,0,0.195,0,  1
19,2,16,   0,  9, 51, 10,20,2,16,   0,0.801,  0.37,  2.01,  2.18,0.689,0,  9.04,1,0,0.199,0,  1
20,2,16,   0,  9, 51, 10,21,2,16,   0,0.797,  0.37,  1.95,  2.13,0.649,0,  9.41,1,0,0.203,0,  1
21,2,16,   0,  9, 51, 10,22,2,16,   0,0.792,  0.37,  1.89,  2.07,0.635,0,  9.78,1,0,0.208,0,  1
22,2,16,   0,  3, 57, 10,23,2,14,   0,0.778,  0.39,  1.79,  2.01,0.410,0, 10.17,1,0,0.222,0,  1
23,2,14,   0,  2, 58, 10,24,2,12,   0,0.762,  0.39,  1.69,  1.91,0.375,0, 10.56,1,0,0.238,0,  1
24,2,12,   0,  4, 56, 10,25,2,11,   0,0.750,  0.39,  1.57,  1.80,0.702,0, 10.95,1,0,0.250,0,  1
25,2,11,   0,  0, 60, 10,26,2, 9,   0,0.731,  0.40,  1.41,  1.67,0.707,0, 11.35,1,0,0.269,0,  1
26,2, 9,   0,  0, 60, 10,27,2, 7,   0,0.710,  0.40,  1.23,  1.51,0.301,0, 11.75,1,0,0.290,0,  1
27,2, 7,   0,  0, 60, 10,28,2, 5,   0,0.686,  0.40,  1.01,  1.31,0.982,0, 12.15,1,0,0.314,0,  1
28,2, 5,   0,  0, 60, 10,29,3, 4,   0,0.331,  0.40,  0.55,  0.89,0.200,1, 12.55,1,1,0.331,0,  1
29,3, 4,   0,  0, 60, 10,30,3, 3,   0,0.615,  0.30,  0.32,  0.59,0.429,0, 12.85,1,0,0.385,0,  1
30,3, 3,   0,  0, 70,  0,31,3, 2,   0,0.594,  0.32,  0.00,  0.32,0.544,0, 13.17,0,0,0.406,0,  1
 1,0,20,   0,  2, 58, 10, 2,0,17,   0,0.894,  0.59,  4.44,  4.59,0.325,0,  0.59,1,0,0.106,0,  2
 2,0,17,   0,  1, 59, 10, 3,1,14,   0,0.115,  0.60,  3.39,  3.65,0.102,1,  1.19,1,1,0.115,0,  2
 3,1,14,   0,  2, 58, 10, 4,1,12,   0,0.862,  0.49,  3.35,  3.51,0.188,0,  1.68,1,0,0.138,0,  2
 4,1,12,   0,  4, 56, 10, 5,1,11,   0,0.855,  0.49,  3.32,  3.47,0.646,0,  2.17,1,0,0.145,0,  2
 5,1,11,   0,  6, 54, 10, 6,1,11,   0,0.852,  0.48,  3.30,  3.44,0.781,0,  2.65,1,0,0.148,0,  2
 6,1,11,   0,  6, 54, 10, 7,1,11,   0,0.849,  0.48,  3.27,  3.42,0.814,0,  3.13,1,0,0.151,0,  2
 7,1,11,   0,  6, 54, 10, 8,1,11,   0,0.846,  0.48,  3.24,  3.40,0.873,0,  3.61,1,0,0.154,0,  2
 8,1,11,   0,  6, 54, 10, 9,2,11,   0,0.157,  0.48,  2.30,  2.55,0.105,1,  4.09,1,1,0.157,0,  2
 9,2,11,   0,  6, 53, 10,10,2,11,   1,0.818,  0.38,  2.29,  2.44,0.353,0,  4.47,1,0,0.182,0,  2
10,2,11,   1, 15, 46, 10,11,2,14,   0,0.827,  0.36,  2.29,  2.41,0.820,0,  4.83,1,0,0.173,0,  2
11,2,14,   0, 14, 46, 10,12,2,16,   0,0.831,  0.36,  2.28,  2.41,0.516,0,  5.19,1,0,0.169,0,  2
12,2,16,   0,  9, 51, 10,13,2,16,   0,0.828,  0.37,  2.26,  2.41,0.396,0,  5.56,1,0,0.172,0,  2
13,2,16,   0,  9, 51, 10,14,2,16,   0,0.825,  0.37,  2.23,  2.38,0.202,0,  5.93,1,0,0.175,0,  2
14,2,16,   0,  9, 51, 10,15,2,16,   0,0.821,  0.37,  2.20,  2.36,0.276,0,  6.30,1,0,0.179,0,  2
15,2,16,   0,  9, 51, 10,16,2,16,   0,0.817,  0.37,  2.17,  2.33,0.224,0,  6.67,1,0,0.183,0,  2
16,2,16,   0,  9, 51, 10,17,2,16,   0,0.813,  0.37,  2.14,  2.30,0.686,0,  7.04,1,0,0.187,0,  2
17,2,16,   0,  9, 51, 10,18,2,16,   0,0.809,  0.37,  2.10,  2.27,0.714,0,  7.41,1,0,0.191,0,  2
18,2,16,   0,  9, 51, 10,19,2,16,   0,0.805,  0.37,  2.06,  2.23,0.709,0,  7.78,1,0,0.195,0,  2
19,2,16,   0,  9, 51, 10,20,2,16,   0,0.801,  0.37,  2.01,  2.18,0.957,0,  8.15,1,0,0.199,0,  2
20,2,16,   0,  9, 51, 10,21,2,16,   0,0.797,  0.37,  1.95,  2.13,0.335,0,  8.52,1,0,0.203,0,  2
21,2,16,   0,  9, 51, 10,22,2,16,   0,0.792,  0.37,  1.89,  2.07,0.875,0,  8.89,1,0,0.208,0,  2
22,2,16,   0,  3, 57, 10,23,2,14,   0,0.778,  0.39,  1.79,  2.01,0.392,0,  9.28,1,0,0.222,0,  2
23,2,14,   0,  2, 58, 10,24,3,12,   0,0.238,  0.39,  1.14,  1.42,0.163,1,  9.67,1,1,0.238,0,  2
24,3,12,   0,  4, 56, 10,25,4,11,   0,0.279,  0.29,  0.60,  0.83,0.099,1,  9.96,1,1,0.279,0,  2
25,4,11,   0,  9, 51, 10,26,5,12,   0,0.317,  0.19,  0.22,  0.39,0.235,1, 10.15,1,1,0.317,0,  2
26,5,12,   0, 19, 51,  0,27,6,16,-300,0.344,  0.09,  0.00,  0.09,0.200,1, 10.24,0,0,0.344,0,  2
27,6,16,-300,  0,  0,  0,28,6,13,-450,0.447,  0.00,  0.00,  0.00,0.156,1, 10.24,0,0,0.447,1,  2
28,6,13,-450,  0,  0,  0,29,6,10,-380,0.513,  0.00,  0.00,  0.00,0.913,0, 10.24,0,0,0.487,1,  2
29,6,10,-380,  0,  0,  0,30,6, 8,-310,0.480,  0.00,  0.00,  0.00,0.989,0, 10.24,0,0,0.520,1,  2
30,6, 8,-310,  0,  0,  0,31,6, 6,-450,0.556,  0.00,  0.00,  0.00,0.153,1, 10.24,0,0,0.556,1,  2
 1,0,20,   0,  2, 58, 10, 2,0,17,   0,0.894,  0.59,  4.44,  4.59,0.884,0,  0.59,1,0,0.106,0,  3
 2,0,17,   0,  1, 59, 10, 3,0,14,   0,0.885,  0.60,  4.39,  4.54,0.282,0,  1.19,1,0,0.115,0,  3
 3,0,14,   0,  2, 58, 10, 4,0,12,   0,0.876,  0.59,  4.34,  4.50,0.164,0,  1.78,1,0,0.124,0,  3
 4,0,12,   0,  4, 56, 10, 5,0,11,   0,0.870,  0.58,  4.30,  4.45,0.248,0,  2.36,1,0,0.130,0,  3
 5,0,11,   0,  0, 60, 10, 6,0, 9,   0,0.861,  0.60,  4.25,  4.42,0.846,0,  2.96,1,0,0.139,0,  3
 6,0, 9,   0,  5, 55, 10, 7,0, 9,   0,0.857,  0.58,  4.21,  4.37,0.453,0,  3.54,1,0,0.143,0,  3
 7,0, 9,   0,  5, 55, 10, 8,0, 9,   0,0.854,  0.58,  4.18,  4.34,0.240,0,  4.12,1,0,0.146,0,  3
 8,0, 9,   0,  5, 55, 10, 9,0, 9,   0,0.850,  0.58,  4.14,  4.30,0.477,0,  4.70,1,0,0.150,0,  3
 9,0, 9,   0,  5, 55, 10,10,0, 9,   0,0.847,  0.58,  4.10,  4.27,0.424,0,  5.28,1,0,0.153,0,  3
10,0, 9,   0,  5, 55, 10,11,0, 9,   0,0.843,  0.58,  4.05,  4.23,0.450,0,  5.86,1,0,0.157,0,  3
11,0, 9,   0,  5, 55, 10,12,0, 9,   0,0.839,  0.58,  4.01,  4.19,0.292,0,  6.44,1,0,0.161,0,  3
12,0, 9,   0,  5, 55, 10,13,0, 9,   0,0.835,  0.58,  3.96,  4.14,0.220,0,  7.02,1,0,0.165,0,  3
13,0, 9,   0,  5, 55, 10,14,0, 9,   0,0.831,  0.58,  3.90,  4.09,0.389,0,  7.60,1,0,0.169,0,  3
14,0, 9,   0,  5, 55, 10,15,0, 9,   0,0.827,  0.58,  3.84,  4.04,0.747,0,  8.18,1,0,0.173,0,  3
15,0, 9,   0,  5, 55, 10,16,0, 9,   0,0.822,  0.58,  3.77,  3.97,0.598,0,  8.76,1,0,0.178,0,  3
16,0, 9,   0,  5, 55, 10,17,0, 9,   0,0.818,  0.58,  3.70,  3.91,0.615,0,  9.34,1,0,0.182,0,  3
17,0, 9,   0,  5, 55, 10,18,0, 9,   0,0.813,  0.58,  3.61,  3.83,0.442,0,  9.92,1,0,0.187,0,  3
18,0, 9,   0,  5, 55, 10,19,1, 9,   0,0.192,  0.58,  2.76,  3.06,0.033,1, 10.50,1,1,0.192,0,  3
19,1, 9,   0,  5, 55, 10,20,1, 9,   0,0.787,  0.48,  2.68,  2.89,0.595,0, 10.98,1,0,0.213,0,  3
20,1, 9,   0,  5, 55, 10,21,1, 9,   0,0.782,  0.48,  2.59,  2.81,0.453,0, 11.46,1,0,0.218,0,  3
21,1, 9,   0,  5, 55, 10,22,2, 9,   0,0.223,  0.48,  1.84,  2.14,0.204,1, 11.94,1,1,0.223,0,  3
22,2, 9,   0, 11, 49, 10,23,2,11,   0,0.761,  0.37,  1.78,  1.96,0.877,0, 12.31,1,0,0.239,0,  3
23,2,11,   0,  6, 54, 10,24,2,11,   0,0.756,  0.38,  1.68,  1.90,0.317,0, 12.69,1,0,0.244,0,  3
24,2,11,   0,  6, 54, 10,25,2,11,   0,0.750,  0.38,  1.57,  1.79,0.703,0, 13.07,1,0,0.250,0,  3
25,2,11,   0,  0, 60, 10,26,2, 9,   0,0.731,  0.40,  1.41,  1.67,0.686,0, 13.47,1,0,0.269,0,  3
26,2, 9,   0,  0, 60, 10,27,2, 7,   0,0.710,  0.40,  1.23,  1.51,0.632,0, 13.87,1,0,0.290,0,  3
27,2, 7,   0,  0, 60, 10,28,2, 5,   0,0.686,  0.40,  1.01,  1.31,0.763,0, 14.27,1,0,0.314,0,  3
28,2, 5,   0,  0, 60, 10,29,3, 4,   0,0.331,  0.40,  0.55,  0.89,0.143,1, 14.67,1,1,0.331,0,  3
29,3, 4,   0,  0, 60, 10,30,3, 3,   0,0.615,  0.30,  0.32,  0.59,0.954,0, 14.97,1,0,0.385,0,  3
30,3, 3,   0,  0, 70,  0,31,4, 2,-300,0.406,  0.32,  0.00,  0.32,0.068,1, 15.29,0,0,0.406,0,  3
 1,0,20,   0,  2, 58, 10, 2,0,17,   0,0.894,  0.59,  4.44,  4.59,0.868,0,  0.59,1,0,0.106,0,  4
 2,0,17,   0,  1, 59, 10, 3,0,14,   0,0.885,  0.60,  4.39,  4.54,0.873,0,  1.19,1,0,0.115,0,  4
 3,0,14,   0,  2, 58, 10, 4,0,12,   0,0.876,  0.59,  4.34,  4.50,0.849,0,  1.78,1,0,0.124,0,  4
 4,0,12,   0,  4, 56, 10, 5,0,11,   0,0.870,  0.58,  4.30,  4.45,0.856,0,  2.36,1,0,0.130,0,  4
 5,0,11,   0,  0, 60, 10, 6,0, 9,   0,0.861,  0.60,  4.25,  4.42,0.727,0,  2.96,1,0,0.139,0,  4
 6,0, 9,   0,  5, 55, 10, 7,0, 9,   0,0.857,  0.58,  4.21,  4.37,0.548,0,  3.54,1,0,0.143,0,  4
 7,0, 9,   0,  5, 55, 10, 8,0, 9,   0,0.854,  0.58,  4.18,  4.34,0.355,0,  4.12,1,0,0.146,0,  4
 8,0, 9,   0,  5, 55, 10, 9,0, 9,   0,0.850,  0.58,  4.14,  4.30,0.705,0,  4.70,1,0,0.150,0,  4
 9,0, 9,   0,  5, 55, 10,10,0, 9,   0,0.847,  0.58,  4.10,  4.27,0.865,0,  5.28,1,0,0.153,0,  4
10,0, 9,   0,  5, 55, 10,11,1, 9,   0,0.157,  0.58,  3.13,  3.40,0.027,1,  5.86,1,1,0.157,0,  4
