Age,Shocks,Fitness,Cash,FitnessSpending,JoySpending,InsuranceSpending,NextAge,NextShocks,NextFitness,NextCash,Probability,Enjoyment,FutureValue,Value,RandDraw,Shocked,TotalJoy,BuyIns,InsurancePaid,ShockProb,AtMaxShocks,Life
 1,0,20,   0, 65, 35,  0, 2,0,38,   0,0.927,  0.47, 12.51, 12.98,0.720,0,  0.47,0,0,0.073,0,  0
 2,0,38,   0, 39, 39, 22, 3,0,44,   0,0.931,  0.49, 12.23, 12.72,0.633,0,  0.96,1,0,0.069,0,  0
 3,0,44,   0, 36, 43, 21, 4,0,48,   0,0.933,  0.52, 11.90, 12.42,0.229,0,  1.48,1,0,0.067,0,  0
 4,0,48,   0, 32, 46, 20, 5,0,50,   2,0.934,  0.53, 11.55, 12.08,0.253,0,  2.01,1,0,0.066,0,  0
 5,0,50,   2, 36, 46, 20, 6,0,53,   0,0.934,  0.53, 11.19, 11.73,0.606,0,  2.54,1,0,0.066,0,  0
 6,0,53,   0, 20, 45, 20, 7,0,50,  15,0.930,  0.53, 10.84, 11.37,0.587,0,  3.07,1,0,0.070,0,  0
 7,0,50,  15, 48, 45, 21, 8,0,57,   1,0.934,  0.53, 10.47, 11.00,0.911,0,  3.60,1,0,0.066,0,  0
 8,0,57,   1, 37, 44, 20, 9,0,59,   0,0.934,  0.52, 10.10, 10.62,0.077,0,  4.12,1,0,0.066,0,  0
 9,0,59,   0, 26, 48, 20,10,0,57,   6,0.931,  0.55,  9.71, 10.26,0.335,0,  4.67,1,0,0.069,0,  0
10,0,57,   6, 37, 48, 21,11,0,59,   0,0.931,  0.55,  9.31,  9.86,0.149,0,  5.22,1,0,0.069,0,  0
11,0,59,   0, 26, 47, 21,12,0,57,   6,0.928,  0.54,  8.92,  9.46,0.841,0,  5.76,1,0,0.072,0,  0
12,0,57,   6, 37, 47, 22,13,1,59,   0,0.072,  0.54,  6.60,  7.14,0.023,1,  6.30,1,1,0.072,0,  0
13,1,59,   0, 26, 44, 24,14,1,57,   6,0.917,  0.44,  6.31,  6.74,0.960,0,  6.74,1,0,0.083,0,  0
14,1,57,   6, 37, 44, 25,15,1,59,   0,0.917,  0.44,  6.01,  6.44,0.495,0,  7.18,1,0,0.083,0,  0
15,1,59,   0, 32, 43, 25,16,1,59,   0,0.915,  0.43,  5.71,  6.14,0.769,0,  7.61,1,0,0.085,0,  0
16,1,59,   0, 26, 42, 26,17,1,57,   6,0.911,  0.43,  5.41,  5.83,0.839,0,  8.04,1,0,0.089,0,  0
17,1,57,   6, 37, 42, 27,18,1,59,   0,0.911,  0.43,  5.10,  5.53,0.721,0,  8.47,1,0,0.089,0,  0
18,1,59,   0, 20, 45, 27,19,1,55,   8,0.905,  0.44,  4.78,  5.22,0.225,0,  8.91,1,0,0.095,0,  0
19,1,55,   8, 36, 43, 29,20,1,57,   0,0.905,  0.43,  4.46,  4.89,0.541,0,  9.34,1,0,0.095,0,  0
20,1,57,   0, 19, 48, 29,21,1,53,   4,0.898,  0.45,  4.11,  4.56,0.457,0,  9.79,1,0,0.102,0,  0
21,1,53,   4, 20, 47, 31,22,1,50,   6,0.891,  0.45,  3.76,  4.21,0.549,0, 10.24,1,0,0.109,0,  0
22,1,50,   6, 27, 46, 33,23,1,50,   0,0.888,  0.45,  3.41,  3.86,0.256,0, 10.69,1,0,0.112,0,  0
23,1,50,   0, 21, 45, 34,24,1,48,   0,0.883,  0.44,  3.06,  3.50,0.372,0, 11.13,1,0,0.117,0,  0
24,1,48,   0, 14, 50, 36,25,1,44,   0,0.873,  0.46,  2.68,  3.14,0.428,0, 11.59,1,0,0.127,0,  0
